iter	Passed	Remaining
906	5323	545
907	5329	539
908	5335	534
909	5340	528
910	5345	522
911	5351	516
912	5357	510
913	5362	504
914	5368	498
915	5374	492
916	5380	486
917	5386	481
918	5391	475
919	5397	469
920	5402	463
921	5408	457
922	5414	451
923	5420	445
924	5426	440
925	5432	434
926	5438	428
927	5445	422
928	5450	416
929	5456	410
930	5462	404
931	5468	398
932	5474	393
933	5479	387
934	5485	381
935	5490	375
936	5496	369
937	5502	363
938	5508	357
939	5514	352
940	5520	346
941	5525	340
942	5531	334
943	5537	328
944	5543	322
945	5549	316
946	5555	310
947	5561	305
948	5568	299
949	5575	293
950	5586	287
951	5593	282
952	5599	276
953	5604	270
954	5610	264
955	5615	258
956	5621	252
957	5626	246
958	5632	240
959	5637	234
960	5643	229
961	5649	223
962	5655	217
963	5661	211
964	5667	205
965	5673	199
966	5679	193
967	5685	187
968	5691	182
969	5696	176
970	5702	170
971	5708	164
972	5714	158
973	5719	152
974	5725	146
975	5731	140
976	5736	135
977	5742	129
978	5748	123
979	5754	117
980	5759	111
981	5765	105
982	5771	99
983	5776	93
984	5782	88
985	5788	82
986	5794	76
987	5800	70
988	5805	64
989	5811	58
990	5817	52
991	5825	46
992	5832	41
993	5839	35
994	5845	29
995	5850	23
996	5856	17
997	5862	11
998	5868	5
999	5873	0
